;;;;;;;;;;;;;;;;;;;
72;73;86;20;52;4;68;77;19;1;20;87;6;79;47;13;28;23;19;21
59;95;19;13;35;86;28;17;17;98;21;52;83;82;52;21;82;32;97;60
37;34;12;-1;33;90;97;58;84;84;61;10;38;17;49;42;46;42;14;19
18;96;86;-1;87;55;35;46;59;88;51;14;83;70;66;86;57;71;90;80
42;40;31;-1;96;27;92;47;29;47;48;-1;57;37;52;70;77;46;52;92
22;-1;-1;-1;32;36;24;57;68;92;29;-1;7;25;82;57;8;15;26;80
26;96;98;-1;46;79;81;54;26;20;96;-1;33;57;58;9;88;18;85;35
72;55;60;-1;77;91;36;45;67;33;55;-1;55;87;58;71;60;73;31;8
82;24;44;-1;38;68;50;94;9;-1;-1;-1;83;69;80;30;96;87;40;4
74;52;78;87;91;7;6;71;17;72;2;-1;66;23;27;83;30;39;55;70
70;76;77;20;2;34;9;12;43;40;45;-1;20;91;31;87;48;-1;7;99
73;74;63;81;84;79;14;87;75;66;35;-1;10;63;80;20;25;-1;51;52
36;46;91;28;80;44;74;66;44;45;19;-1;29;16;77;35;76;-1;66;72
32;32;4;71;21;10;12;-1;41;36;93;33;27;38;69;-1;-1;-1;34;23
48;77;87;13;42;92;24;-1;67;6;8;45;33;92;49;6;98;-1;39;81
18;28;9;37;48;-1;-1;-1;54;94;53;35;40;50;16;19;37;-1;5;78
60;35;70;41;10;59;98;-1;42;90;24;95;9;20;3;93;87;-1;83;42
64;68;5;59;12;79;56;-1;73;27;9;74;57;34;21;39;7;14;96;8
54;46;23;14;53;30;17;66;23;89;36;90;71;76;90;90;26;55;85;22
6;57;8;26;25;74;32;2;75;52;4;19;79;52;6;93;30;39;5;36
